City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,necochea,-38.5473,-58.7368,283.54,92,8,3.5,AR,1734417476
1,guane,22.2025,-84.0875,294.65,93,2,2.04,CU,1734417477
2,port-aux-francais,-49.35,70.2167,278.87,80,13,15.4,TF,1734417480
3,bredasdorp,-34.5322,20.0403,292.08,52,87,4.43,ZA,1734417481
4,olonkinbyen,70.9221,-8.7187,270.53,62,84,4.44,SJ,1734417482
5,edinburgh of the seven seas,-37.0676,-12.3116,289.19,91,100,8.95,SH,1734417483
6,thompson,55.7435,-97.8558,256.24,85,100,2.06,CA,1734417484
7,magadan,59.5667,150.8,259.62,73,100,5.06,RU,1734417486
8,labrador city,52.9463,-66.9114,268.1,82,100,7.6,CA,1734417487
9,vila velha,-20.3297,-40.2925,296.45,93,75,5.66,BR,1734417488
10,inhambane,-23.865,35.3833,303.14,79,75,2.57,MZ,1734417489
11,zaozersk,69.4005,32.4476,257.22,91,100,1.68,RU,1734417492
12,louth,53.3666,-0.0044,278.95,93,99,6.17,GB,1734417493
13,saint-pierre,-21.3393,55.4781,301.97,54,0,3.6,RE,1734417494
14,atafu village,-8.5421,-172.5159,301.03,76,61,6.01,TK,1734417496
15,blackmans bay,-43.0167,147.3167,291.22,59,10,1.79,AU,1734417499
16,mandiana,10.6333,-8.6833,291.12,21,18,2.32,GN,1734417501
17,kodiak,57.79,-152.4072,277.88,93,100,14.4,US,1734417384
18,chapaev,50.2,51.1667,272.9,96,100,10.61,KZ,1734417503
19,marsh harbour,26.5412,-77.0636,297.74,81,0,10.17,BS,1734417504
20,papatowai,-46.5619,169.4708,285.83,67,90,5.82,NZ,1734417506
21,nar'yan-mar,67.6713,53.087,247.05,96,73,1.95,RU,1734417508
22,hamilton,39.1834,-84.5333,279.32,82,40,5.66,US,1734417509
23,waitangi,-43.9535,-176.5597,286.38,90,100,1.34,NZ,1734417510
24,hede,33.7681,120.2517,283.62,29,0,3.61,CN,1734417511
25,ushuaia,-54.8,-68.3,286.96,58,0,3.6,AR,1734417512
26,stanley,54.868,-1.6985,280.65,86,20,3.09,GB,1734417514
27,carnarvon,-24.8667,113.6333,303.51,52,0,8.79,AU,1734417515
28,bethel,41.3712,-73.414,281.79,90,100,4.12,US,1734417516
29,puerto natales,-51.7236,-72.4875,282.56,95,100,1.82,CL,1734417517
30,grytviken,-54.2811,-36.5092,273.65,90,85,7.36,GS,1734417518
31,yellowknife,62.456,-114.3525,246.44,76,20,5.14,CA,1734417519
32,la passe,45.5549,-0.8967,279.03,77,100,3.62,FR,1734417521
33,ancud,-41.8697,-73.8203,284.55,96,23,1.46,CL,1734417522
34,itoman,26.1247,127.6694,293.16,56,20,4.63,JP,1734417523
35,hotan,37.0997,79.9269,270.75,49,16,4.53,CN,1734417524
36,dimona,31.0667,35.0333,285.22,68,0,0.86,IL,1734417525
37,whitehorse,60.7161,-135.0538,257.58,88,75,2.57,CA,1734417527
38,hawaiian paradise park,19.5933,-154.9731,294.75,99,100,2.06,US,1734417528
39,puno,-15.8333,-70.0333,279.09,79,98,2.49,PE,1734417529
40,villa gesell,-37.2639,-56.973,287.74,87,0,2.37,AR,1734417530
41,acajutla,13.5928,-89.8275,296.93,64,0,2.74,SV,1734417531
42,zouerate,22.7187,-12.4521,288.99,24,16,8.06,MR,1734417533
43,flying fish cove,-10.4217,105.6791,302.97,74,40,4.12,CX,1734417534
44,arkhangel'sk,64.5401,40.5433,249.21,77,0,3.0,RU,1734417535
45,kavaratti,10.5669,72.642,299.94,68,100,2.22,IN,1734417536
46,rizhao,35.4275,119.4553,279.94,31,83,4.63,CN,1734417537
47,bentota,6.4254,79.9948,301.65,76,100,5.77,LK,1734417538
48,balqash,46.8481,74.995,258.48,85,71,8.0,KZ,1734417540
49,puerto ayora,-0.7393,-90.3518,295.7,83,54,2.4,EC,1734417542
50,altai,46.3722,96.2583,261.8,63,100,0.92,MN,1734417543
51,talnakh,69.4865,88.3972,253.7,93,100,6.36,RU,1734417545
52,swakopmund,-22.6833,14.5333,288.14,83,0,2.24,NA,1734417546
53,bengkulu,-3.8004,102.2655,302.61,68,100,4.84,ID,1734417547
54,chonchi,-42.6128,-73.8092,284.33,99,42,1.18,CL,1734417549
55,tharangambadi,11.0319,79.8528,299.65,74,100,7.43,IN,1734417550
56,alotau,-10.3069,150.4462,300.25,90,100,1.44,PG,1734417551
57,badger,64.8,-147.5333,254.08,71,40,0.0,US,1734417552
58,wuwei,37.9281,102.6414,271.67,45,11,2.71,CN,1734417553
59,port mathurin,-19.6833,63.4167,298.39,67,77,8.39,MU,1734417555
60,qaqortoq,60.7167,-46.0333,264.34,75,100,3.55,GL,1734417556
61,ola,59.5833,151.2833,259.65,73,100,5.57,RU,1734417557
62,iskateley,67.6803,53.1512,246.99,96,78,1.98,RU,1734417558
63,the pas,53.8251,-101.2541,260.16,78,100,7.2,CA,1734417559
64,adamstown,-25.066,-130.1015,295.13,66,13,6.75,PN,1734417560
65,albany,42.6001,-73.9662,278.66,95,100,1.79,US,1734417562
66,san patricio,28.017,-97.5169,294.12,70,100,2.77,US,1734417563
